userid,accountid,doc_number,id,actual_trans_ts,month,type,,,,
SYSADMIN,400,0000062075,,1/5/2021,1,outbound,,,,
SYSADMIN,400,0000062076,,1/5/2021,1,outbound,,,,
SYSADMIN,400,0000062077,,1/5/2021,1,outbound,,,,
SYSADMIN,400,0000062079,,1/5/2021,1,outbound,,,,
SYSADMIN,400,0000062080,,1/5/2021,1,outbound,,,,
SYSADMIN,400,0000062134,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064646,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064647,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064648,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064649,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064650,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064651,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064652,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064653,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064654,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064655,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064656,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064657,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064658,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064659,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064660,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064661,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064662,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064663,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064664,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064667,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064668,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064669,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064670,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064671,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064672,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064673,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064674,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064675,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064676,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064677,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064678,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064679,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064680,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064681,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064682,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064683,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064684,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064685,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064686,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064687,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064688,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064689,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064690,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064691,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064692,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064693,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064694,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064695,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064696,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064697,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064698,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064699,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064700,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064701,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064702,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064703,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064704,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064705,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064706,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064707,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064708,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064709,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064710,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064711,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064712,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064713,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064714,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064715,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064716,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064717,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064718,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064719,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064720,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064721,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064722,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064723,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064724,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064725,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064726,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064727,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064728,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064729,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064730,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064731,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064732,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064733,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064734,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064735,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064736,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064737,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064738,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064739,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064740,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064741,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064742,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064743,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064744,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064745,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064746,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064747,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064748,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064749,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064750,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064751,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064752,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064753,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064754,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064755,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064756,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064757,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064758,,1/4/2021,1,outbound,,,,
AValdivia,197,0000069039,,1/12/2021,1,outbound,,,,
AValdivia,197,0000075137,,2/9/2021,2,outbound,,,,
AValdivia,197,0000076321,,2/11/2021,2,outbound,,,,
AValdivia,197,0000077584,,2/18/2021,2,outbound,,,,
AValdivia,197,0000080385,,3/5/2021,3,outbound,,,,
SYSADMIN,400,0000064286,,1/7/2021,1,outbound,,,,
SYSADMIN,400,0000064325,,1/13/2021,1,outbound,,,,
SYSADMIN,400,0000064326,,1/12/2021,1,outbound,,,,
SYSADMIN,400,0000064376,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064394,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064395,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064396,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064397,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064398,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064399,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064400,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064401,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064402,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064403,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064404,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064405,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064407,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064408,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064409,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064410,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064411,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064412,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064413,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064414,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064415,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064416,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064417,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064418,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064419,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064420,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064421,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064422,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064423,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064424,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064425,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064426,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064427,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064428,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064429,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064430,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064431,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064432,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064433,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064434,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064435,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064436,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064437,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064438,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064439,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064440,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064441,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064442,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064443,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064444,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064445,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064446,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064447,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064448,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064449,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064450,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064451,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064452,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064453,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064454,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064455,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064456,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064457,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064458,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064459,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064460,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064461,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064462,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064463,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064464,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064465,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064466,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064467,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064468,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064469,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064470,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064472,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064473,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064474,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064475,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064476,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064477,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064478,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064479,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064480,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064481,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064482,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064483,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064484,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064485,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064486,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064487,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064488,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064489,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064490,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064491,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064492,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064493,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064494,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064495,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064496,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064497,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064498,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064499,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064500,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064501,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064502,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064503,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064759,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064760,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064761,,1/4/2021,1,outbound,,,,
SYSADMIN,400,0000064762,,1/4/2021,1,outbound,,,,
